participant	content
CHI	okay . 
MOT	oh we have to work together . 
INV	so you'll hear a bell . 
INV	<and then you can use the spacebar> to then +... 
MOT	<what [/] what do you wanna do> ? 
INV	<and then you would use the trackpad> +... 
CHI	<wave ask run or steal> <he looked> pretty angry I'm gonna <go with> +... 
MOT	<let's steal> . 
MOT	<steal> ? 
MOT	or run ? 
CHI	steal or run ? 
CHI	just <steal> steal every [/] every round right ? 
MOT	<which is> the_most fun ? 
CHI	yeah . 
MOT	nice . 
CHI	thieves . 
CHI	okay he [/] he looks <the same> just steal every round . 
MOT	<same> . 
MOT	let's try it . 
CHI	but there wouldn't be two steals in a row would there ? 
MOT	and he's +// . 
MOT	that last one was blue and this guy's green . 
CHI	and this guy's <green do we run> ? 
MOT	<does that change anything> ? 
MOT	sure let's see what happens when <we run away oh> . 
CHI	<is it biased to the greens> ? 
CHI	oh_no . 
CHI	oh is that +// ? 
CHI	it's a friendly one ? 
CHI	it was all like +" grr +" . 
MOT	maybe green ones are friendly . 
CHI	biased . 
MOT	racist <game> . 
CHI	<okay> this one's [//] this one looks nice . 
MOT	okay . 
CHI	he looks +// . 
CHI	he just <looks> +/ . 
MOT	<but he's> blue . 
CHI	is turning into like a race thing ? 
MOT	I hope not . 
CHI	with aliens ? 
MOT	we should rethink this let's <just ask> . 
CHI	<let's> ask him let's . 
CHI	let's ask . 
CHI	yeah nice . 
CHI	oo eighteen points . 
CHI	this is the same one . 
MOT	the other guys had spots . 
CHI	oh he did ? 
MOT	mhm . 
MOT	let's do the same ? 
CHI	should we wave him ? 
MOT	'cause we haven't tried that yet <you mean> ? 
CHI	<we haven't tried> it . 
CHI	hello oh run away . 
MOT	there has to be a pattern we have to figure it out . 
CHI	okay so this guy is the same but with weak arms . 
CHI	should we steal ? 
MOT	'cause he's weak ? 
CHI	yeah he can't run after us oh we could ask him . 
MOT	okay <let's ask him> . 
CHI	<he looks friendly> . 
MOT	you should've just <waved> . 
CHI	<just> waved ? 
MOT	<why did we> +// ? 
CHI	<there's no gem> . 
MOT	what's the mistake ? 
CHI	maybe does this mean that they have gems ? 
CHI	are they [//] is it like hunter-gatherer ? 
MOT	like  +" whoo I have +" like +" I have gems +" ? 
CHI	yeah . 
MOT	you'd think he wouldn't wanna <advertise that> . 
CHI	<okay [/] okay> so this guy's big and . 
CHI	green steal ? 
MOT	I don't remember what happened with the other green one ? 
MOT	we stole from the +/ . 
CHI	we stole from the green guy . 
CHI	gonna steal oh <he's> friendly . 
MOT	<nope> . 
CHI	we just stole from this guy . 
MOT	I think we might lose quickly . 
CHI	yeah we . 
CHI	can we get negative points ? 
INV	no . 
CHI	no . 
MOT	oh_well this is gonna be over soon . 
CHI	yeah alright so this guy's the same . 
MOT	wave . 
CHI	wave ? 
MOT	I think ? 
MOT	I'm failing this pattern . 
CHI	friendly alien . 
MOT	why are we making mistakes ? 
CHI	I don't know . 
CHI	hi . 
MOT	I'm usually good at this kind of <arms are down> and blue . 
CHI	<this guy is> +... 
CHI	and blue chonky legs . 
MOT	and big eyes . 
CHI	big eyes . 
CHI	their faces seem the <same> . 
MOT	<does that have anything> to do with it or are we missing something completely obvious ? 
CHI	yeah is there just a gem poking out of his pocket ? 
CHI	ask for a gem ? 
CHI	I don't know but those last ones to ask for it . 
CHI	I'm gonna do ask for it . 
CHI	nope just waved . 
CHI	we got the first ones right . 
MOT	'cause we were being evil ? 
MOT	I don't know honey . 
MOT	but it will be humiliating when we figure <out> what it is . 
CHI	<hm> . 
CHI	whoa okay this guy has some devil eyes on him . 
CHI	he's the same with weird eyes . 
CHI	so I'm gonna steal from this guy . 
MOT	why ? 
CHI	I don't know . 
CHI	his eyes are just really creeping me out nope just wave so he's friendly . 
MOT	mhm . 
MOT	we are not catching on to <the pattern> . 
CHI	<mm_mm> . 
CHI	okay so green's +... 
MOT	I've lost count . 
MOT	alright let's just keep losing . 
CHI	yeah . 
CHI	we'll get lucky one time . 
MOT	so it has nothing to do with the arms being up or down . 
CHI	maybe it's just a [/] maybe it's just a twenty five percent chance every time . 
MOT	okay . 
CHI	so I think the arms do mean +// . 
CHI	I'm sure like it matters . 
