participant	content
MOT	okay well I guess we'll figure out what to do . 
CHI	okay you're good ? 
MOT	mhm . 
MOT	okay . 
MOT	alright . 
MOT	you ready ? 
CHI	mhm . 
MOT	okay . 
MOT	okay . 
MOT	okay you ready to make some choices ? 
CHI	mhm . 
MOT	okay . 
MOT	does he look good or bad ? 
CHI	oh . 
MOT	what do you think ? 
CHI	um he looks good . 
MOT	looks good he looks um angry to me he's got his arms down and he's got his mouth on like uh kinda face . 
MOT	I don't know doesn't it look well enough that the other aliens to see what they kinda look like . 
CHI	so what [/] <so what else> . 
MOT	<I think do we hit the spacebar> ? 
MOT	okay so do we wanna wave ask for gems ? 
CHI	ask for a gem maybe ? 
MOT	sure we can ask for a gem . 
MOT	oops you should have just waved at this friendly alien . 
CHI	we have zero points . 
CHI	now we have forty of them . 
INV	so now you can press the spacebar . 
CHI	that one looks bad . 
MOT	<that one looks> [//] he looks the same as the other alien except his eyes are red . 
CHI	mhm . 
MOT	you see that he's a bad one so what do you want to do steal his gem ? 
CHI	yeah . 
MOT	or do you wanna run away ? 
CHI	steal his gem . 
MOT	okay . 
MOT	nope we should have just waved at it it was a friendly one . 
MOT	I don't know the difference between them yet . 
CHI	okay ready ? 
MOT	mhm . 
CHI	I think if they're going +// . 
CHI	<oh> that one's an angry alien . 
MOT	<oh> . 
MOT	yeah . 
MOT	you think that one's angry ? 
CHI	yup . 
MOT	okay . 
CHI	what should we do ? 
MOT	do you wanna run away ? 
CHI	does it look scary ? 
CHI	you wanna steal a gem from it ? 
CHI	steal a gem . 
MOT	steal a gem okay you made the right choice . 
CHI	yay . 
MOT	okay . 
CHI	okay ready ? 
MOT	mhm . 
CHI	mm . 
MOT	so to that it looks like another bad alien ? 
CHI	hm . 
MOT	so what wanna do ? 
CHI	what do you wanna do ? 
MOT	did we steal last time ? 
CHI	mhm . 
MOT	okay so then yeah . 
CHI	it's probably with +... 
MOT	there you go oh . 
CHI	okay can you_guys +... 
CHI	you're supposed to be downstairs . 
MOT	I asked you to be downstairs . 
MOT	so it's a [/] a <friendly one> so we should just wave at it . 
CHI	<friendly one> . 
MOT	right since it told us to do every time when we were trying to ask for a gem so try waving . 
CHI	okay . 
MOT	<yahoo> . 
CHI	<yay> . 
MOT	you can't play right there . 
CHI	oh . 
MOT	oh he's really buff . 
CHI	uh we should probably run away from this one . 
MOT	run away that's probably good 'cause he looks really scary . 
CHI	<aw> . 
MOT	<aw> that was a friendly alien ? 
MOT	I don't know how to +... 
CHI	oh maybe it's the ones with spots . 
CHI	oh that one looks <like> +... 
MOT	<so> [/] so you think that's the one with spots I didn't know that some had spots and some didn't . 
MOT	that one's scary so do you [/] you wanna +... 
CHI	gem <steal a gem> . 
MOT	<huh> steal a gem ? 
MOT	okay [/] okay let's +// . 
MOT	woohoo . 
CHI	yay thirty eight points . 
MOT	okay let's see the next one if it has spots on it or not . 
CHI	<nope> . 
MOT	<no spots> so just wanna wave at it ? 
CHI	okay we'll wave at it . 
MOT	<nope that was run away> . 
CHI	<oh> right . 
MOT	whoops . 
CHI	whoops oh_well . 
MOT	that's +// . 
MOT	so that has spots on it so you <can> . 
CHI	<spots> hm . 
MOT	so you wanna steal a gem from it ? 
CHI	or ask for a gem ? 
CHI	we'll ask for a gem . 
MOT	you're gonna ask for a gem ? 
CHI	yeah aw . 
MOT	wave there's a friendly <alien okay> . 
CHI	<oh> okay . 
MOT	so the spots tell me it's friendly I still haven't figured out what's the difference between them . 
CHI	this one's a friendly alien . 
MOT	you think so ? 
MOT	so we should just wave at it ? 
CHI	mhm which one ? 
MOT	I think wave . 
CHI	yay forty four points . 
MOT	oh . 
CHI	okay ready ? 
MOT	mhm . 
MOT	that was a friendly alien . 
CHI	yeah so should we wave <or ask for> a gem ? 
MOT	<yeah <I think> [/]> I think we should wave I think it's always wave . 
CHI	no once it was ask for a gem . 
MOT	it was ? 
CHI	yeah and we said wave . 
MOT	really ? 
CHI	yeah . 
MOT	I don't remember that . 
CHI	yeah . 
MOT	I think it's always wave . 
CHI	okay . 
MOT	um . 
CHI	what do you think ? 
MOT	I can't tell if that's a friendly alien or not . 
CHI	we'll wave . 
MOT	okay go try . 
CHI	see ? 
MOT	you should have asked this alien for a gem . 
CHI	okay ready ? 
MOT	I [/] I don't know if there actually is a really a rhyme or reason to +... 
CHI	okay which one ? 
MOT	so I wanna say [//] I would say steal a gem from it . 
MOT	aw it's a <friendly alien> . 
CHI	<I> told you . 
MOT	what do you <think> ? 
CHI	<do you think> this is a friendly alien or not ? 
MOT	<you think> it's a friendly one ? 
MOT	so you wanna wave at it ? . 
MOT	or you wanna ask it ? . 
CHI	ask it for a gem . 
MOT	go ahead oh you should've just waved at it . 
CHI	uh . 
CHI	the aliens are being difficult . 
CHI	there's forty of them . 
CHI	does this look friendly to you ? 
MOT	uh I can't tell . 
CHI	let's just say it's friendly and let's ask it for a gem . 
MOT	<whoa> you got it . 
MOT	<yay> . 
CHI	I didn't . 
MOT	okay keep going . 
CHI	<okay> . 
MOT	<what do you think> ? 
CHI	hm it looks . 
CHI	friendly . 
MOT	it looks friendly to me . 
CHI	wait but its feet are out of the ground . 
MOT	there was feet ? 
CHI	yeah there wasn't feet on the other ones . 
MOT	<there> wasn't feet ? 
CHI	<um> [/] um I don't know . 
CHI	okay let's steal gems from it ? 
MOT	oh you should <have> +... 
CHI	<I [/] I didn't press it though> . 
MOT	oh you didn't press anything ? 
CHI	I didn't press anything . 
MOT	oh . 
CHI	oh_well . 
CHI	see this one doesn't have legs . 
MOT	oh I see . 
MOT	so you think that's a bad alien ? 
CHI	mhm . 
MOT	okay so you should steal a gem from it ? 
CHI	mhm do we try run away ? 
MOT	no you should've <asked> . 
CHI	<okay> that doesn't matter then . 
MOT	okay . 
MOT	let's see if the next one has legs . 
CHI	okay . 
MOT	so <do you think> it's a friendly alien ? 
CHI	<do you> +// . 
CHI	let's just say it's friendly . 
MOT	and ask it for a gem ? 
CHI	mhm ask it for a gem . 
MOT	no it's a bad alien . 
MOT	<I don't know> [/] I don't know if I would have figured out the pattern if there <is one> . 
CHI	<okay> . 
MOT	they have <two different> [/] two different kinds eyes too you_know if they use like little frog eyes and they also have the like the eyes that stick up out_of the top of their head . 
CHI	okay . 
CHI	okay . 
MOT	I know we said this but what did that <last one have> ? 
CHI	I say <friendly> . 
MOT	you think it's friendly ? 
MOT	okay go for it you going to ask for a gem or wave at it ? 
CHI	wave at it . 
MOT	okay woohoo . 
CHI	we waved at it yay . 
MOT	okay . 
