participant	content	token	lemma	tagged_token	tagged_lemma	file
MOT	 so what do you wanna do  	['so', 'what', 'do', 'you', 'wan', 'na', 'do']	['so', 'what', 'do', 'you', 'wan', 'na', 'do']	[('so', 'RB'), ('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('wan', 'VB'), ('na', 'NNS'), ('do', 'VB')]	[('so', 'RB'), ('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('wan', 'VB'), ('na', 'NNS'), ('do', 'VB')]	Dyad3-time1-condTD.txt
CHI	i think  	['i', 'think']	['i', 'think']	[('i', 'NN'), ('think', 'VBP')]	[('i', 'NN'), ('think', 'VBP')]	Dyad3-time1-condTD.txt
MOT	is it timed  	['is', 'it', 'timed']	['be', 'it', 'time']	[('is', 'VBZ'), ('it', 'PRP'), ('timed', 'VBD')]	[('be', 'VB'), ('it', 'PRP'), ('time', 'NN')]	Dyad3-time1-condTD.txt
INV	it's not timed so that bell just means that you can then press the spacebar to then click your response  	['it', 'is', 'not', 'timed', 'so', 'that', 'bell', 'just', 'means', 'that', 'you', 'can', 'then', 'press', 'the', 'spacebar', 'to', 'then', 'click', 'your', 'response']	['it', 'be', 'not', 'time', 'so', 'that', 'bell', 'just', 'mean', 'that', 'you', 'can', 'then', 'press', 'the', 'spacebar', 'to', 'then', 'click', 'your', 'response']	[('it', 'PRP'), ('is', 'VBZ'), ('not', 'RB'), ('timed', 'VBN'), ('so', 'RB'), ('that', 'IN'), ('bell', 'NN'), ('just', 'RB'), ('means', 'VBZ'), ('that', 'IN'), ('you', 'PRP'), ('can', 'MD'), ('then', 'RB'), ('press', 'VB'), ('the', 'DT'), ('spacebar', 'NN'), ('to', 'TO'), ('then', 'RB'), ('click', 'VB'), ('your', 'PRP$'), ('response', 'NN')]	[('it', 'PRP'), ('be', 'VB'), ('not', 'RB'), ('time', 'NN'), ('so', 'IN'), ('that', 'DT'), ('bell', 'NN'), ('just', 'RB'), ('mean', 'VB'), ('that', 'IN'), ('you', 'PRP'), ('can', 'MD'), ('then', 'RB'), ('press', 'VB'), ('the', 'DT'), ('spacebar', 'NN'), ('to', 'TO'), ('then', 'RB'), ('click', 'VB'), ('your', 'PRP$'), ('response', 'NN')]	Dyad3-time1-condTD.txt
CHI	i think he doesn't look good his eyes are scary and he looks like strong and intimidating  	['i', 'think', 'he', 'does', 'not', 'look', 'good', 'his', 'eyes', 'are', 'scary', 'and', 'he', 'looks', 'like', 'strong', 'and', 'intimidating']	['i', 'think', 'he', 'do', 'not', 'look', 'good', 'his', 'eye', 'be', 'scary', 'and', 'he', 'look', 'like', 'strong', 'and', 'intimidate']	[('i', 'NN'), ('think', 'VBP'), ('he', 'PRP'), ('does', 'VBZ'), ('not', 'RB'), ('look', 'VB'), ('good', 'JJ'), ('his', 'PRP$'), ('eyes', 'NNS'), ('are', 'VBP'), ('scary', 'JJ'), ('and', 'CC'), ('he', 'PRP'), ('looks', 'VBZ'), ('like', 'IN'), ('strong', 'JJ'), ('and', 'CC'), ('intimidating', 'VBG')]	[('i', 'NN'), ('think', 'VBP'), ('he', 'PRP'), ('do', 'VBZ'), ('not', 'RB'), ('look', 'VB'), ('good', 'JJ'), ('his', 'PRP$'), ('eye', 'NN'), ('be', 'VB'), ('scary', 'JJ'), ('and', 'CC'), ('he', 'PRP'), ('look', 'VBP'), ('like', 'IN'), ('strong', 'JJ'), ('and', 'CC'), ('intimidate', 'NN')]	Dyad3-time1-condTD.txt
MOT	these were the three that were in the front they all look the same to me but different colors   you could choose this one why don't we choose and then we'll decide after  	['these', 'were', 'the', 'three', 'that', 'were', 'in', 'the', 'front', 'they', 'all', 'look', 'the', 'same', 'to', 'me', 'but', 'different', 'colors', 'you', 'could', 'choose', 'this', 'one', 'why', 'do', 'not', 'we', 'choose', 'and', 'then', 'we', 'will', 'decide', 'after']	['these', 'be', 'the', 'three', 'that', 'be', 'in', 'the', 'front', 'they', 'all', 'look', 'the', 'same', 'to', 'me', 'but', 'different', 'color', 'you', 'could', 'choose', 'this', 'one', 'why', 'do', 'not', 'we', 'choose', 'and', 'then', 'we', 'will', 'decide', 'after']	[('these', 'DT'), ('were', 'VBD'), ('the', 'DT'), ('three', 'CD'), ('that', 'WDT'), ('were', 'VBD'), ('in', 'IN'), ('the', 'DT'), ('front', 'NN'), ('they', 'PRP'), ('all', 'DT'), ('look', 'VBP'), ('the', 'DT'), ('same', 'JJ'), ('to', 'TO'), ('me', 'PRP'), ('but', 'CC'), ('different', 'JJ'), ('colors', 'NNS'), ('you', 'PRP'), ('could', 'MD'), ('choose', 'VB'), ('this', 'DT'), ('one', 'CD'), ('why', 'WRB'), ('do', 'VBP'), ('not', 'RB'), ('we', 'PRP'), ('choose', 'VBP'), ('and', 'CC'), ('then', 'RB'), ('we', 'PRP'), ('will', 'MD'), ('decide', 'VB'), ('after', 'IN')]	[('these', 'DT'), ('be', 'VB'), ('the', 'DT'), ('three', 'CD'), ('that', 'WDT'), ('be', 'VB'), ('in', 'IN'), ('the', 'DT'), ('front', 'NN'), ('they', 'PRP'), ('all', 'DT'), ('look', 'VBP'), ('the', 'DT'), ('same', 'JJ'), ('to', 'TO'), ('me', 'PRP'), ('but', 'CC'), ('different', 'JJ'), ('color', 'NN'), ('you', 'PRP'), ('could', 'MD'), ('choose', 'VB'), ('this', 'DT'), ('one', 'CD'), ('why', 'WRB'), ('do', 'VBP'), ('not', 'RB'), ('we', 'PRP'), ('choose', 'VBP'), ('and', 'CC'), ('then', 'RB'), ('we', 'PRP'), ('will', 'MD'), ('decide', 'VB'), ('after', 'IN')]	Dyad3-time1-condTD.txt
CHI	i  i think for the first one we should run away just to be safe 'cause if we steal then like  	['i', 'i', 'think', 'for', 'the', 'first', 'one', 'we', 'should', 'run', 'away', 'just', 'to', 'be', 'safe', 'because', 'if', 'we', 'steal', 'then', 'like']	['i', 'i', 'think', 'for', 'the', 'first', 'one', 'we', 'should', 'run', 'away', 'just', 'to', 'be', 'safe', 'because', 'if', 'we', 'steal', 'then', 'like']	[('i', 'NN'), ('i', 'VBP'), ('think', 'VBP'), ('for', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('one', 'CD'), ('we', 'PRP'), ('should', 'MD'), ('run', 'VB'), ('away', 'RB'), ('just', 'RB'), ('to', 'TO'), ('be', 'VB'), ('safe', 'JJ'), ('because', 'IN'), ('if', 'IN'), ('we', 'PRP'), ('steal', 'VBP'), ('then', 'RB'), ('like', 'IN')]	[('i', 'NN'), ('i', 'VBP'), ('think', 'VBP'), ('for', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('one', 'CD'), ('we', 'PRP'), ('should', 'MD'), ('run', 'VB'), ('away', 'RB'), ('just', 'RB'), ('to', 'TO'), ('be', 'VB'), ('safe', 'JJ'), ('because', 'IN'), ('if', 'IN'), ('we', 'PRP'), ('steal', 'VBP'), ('then', 'RB'), ('like', 'IN')]	Dyad3-time1-condTD.txt
MOT	okay since the   so we're gonna run away  	['okay', 'since', 'the', 'so', 'we', 'are', 'gon', 'na', 'run', 'away']	['okay', 'since', 'the', 'so', 'we', 'be', 'gon', 'na', 'run', 'away']	[('okay', 'NN'), ('since', 'IN'), ('the', 'DT'), ('so', 'IN'), ('we', 'PRP'), ('are', 'VBP'), ('gon', 'VBG'), ('na', 'TO'), ('run', 'VB'), ('away', 'RP')]	[('okay', 'NN'), ('since', 'IN'), ('the', 'DT'), ('so', 'IN'), ('we', 'PRP'), ('be', 'VB'), ('gon', 'VBN'), ('na', 'TO'), ('run', 'VB'), ('away', 'RP')]	Dyad3-time1-condTD.txt
CHI	 it was friendly so he was green  	['it', 'was', 'friendly', 'so', 'he', 'was', 'green']	['it', 'be', 'friendly', 'so', 'he', 'be', 'green']	[('it', 'PRP'), ('was', 'VBD'), ('friendly', 'RB'), ('so', 'RB'), ('he', 'PRP'), ('was', 'VBD'), ('green', 'JJ')]	[('it', 'PRP'), ('be', 'VB'), ('friendly', 'RB'), ('so', 'IN'), ('he', 'PRP'), ('be', 'VB'), ('green', 'JJ')]	Dyad3-time1-condTD.txt
MOT	okay and  	['okay', 'and']	['okay', 'and']	[('okay', 'NN'), ('and', 'CC')]	[('okay', 'NN'), ('and', 'CC')]	Dyad3-time1-condTD.txt
