participant	content	token	lemma	tagged_token	tagged_lemma	file
MOT	 we have to work together  	['we', 'have', 'to', 'work', 'together']	['we', 'have', 'to', 'work', 'together']	[('we', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('work', 'VB'), ('together', 'RB')]	[('we', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('work', 'VB'), ('together', 'RB')]	Dyad4-time1-condTD.txt
INV	so you'll hear a bell   and then you can use the spacebar to then  	['so', 'you', 'will', 'hear', 'a', 'bell', 'and', 'then', 'you', 'can', 'use', 'the', 'spacebar', 'to', 'then']	['so', 'you', 'will', 'hear', 'a', 'bell', 'and', 'then', 'you', 'can', 'use', 'the', 'spacebar', 'to', 'then']	[('so', 'RB'), ('you', 'PRP'), ('will', 'MD'), ('hear', 'VB'), ('a', 'DT'), ('bell', 'NN'), ('and', 'CC'), ('then', 'RB'), ('you', 'PRP'), ('can', 'MD'), ('use', 'VB'), ('the', 'DT'), ('spacebar', 'NN'), ('to', 'TO'), ('then', 'RB')]	[('so', 'RB'), ('you', 'PRP'), ('will', 'MD'), ('hear', 'VB'), ('a', 'DT'), ('bell', 'NN'), ('and', 'CC'), ('then', 'RB'), ('you', 'PRP'), ('can', 'MD'), ('use', 'VB'), ('the', 'DT'), ('spacebar', 'NN'), ('to', 'TO'), ('then', 'RB')]	Dyad4-time1-condTD.txt
MOT	what  what do you wanna do  	['what', 'what', 'do', 'you', 'wan', 'na', 'do']	['what', 'what', 'do', 'you', 'wan', 'na', 'do']	[('what', 'WP'), ('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('wan', 'VB'), ('na', 'NNS'), ('do', 'VB')]	[('what', 'WP'), ('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('wan', 'VB'), ('na', 'NNS'), ('do', 'VB')]	Dyad4-time1-condTD.txt
INV	and then you would use the trackpad  	['and', 'then', 'you', 'would', 'use', 'the', 'trackpad']	['and', 'then', 'you', 'would', 'use', 'the', 'trackpad']	[('and', 'CC'), ('then', 'RB'), ('you', 'PRP'), ('would', 'MD'), ('use', 'VB'), ('the', 'DT'), ('trackpad', 'NN')]	[('and', 'CC'), ('then', 'RB'), ('you', 'PRP'), ('would', 'MD'), ('use', 'VB'), ('the', 'DT'), ('trackpad', 'NN')]	Dyad4-time1-condTD.txt
CHI	wave ask run or steal he looked pretty angry i'm gonna go with  	['wave', 'ask', 'run', 'or', 'steal', 'he', 'looked', 'pretty', 'angry', 'i', 'am', 'gon', 'na', 'go', 'with']	['wave', 'ask', 'run', 'or', 'steal', 'he', 'look', 'pretty', 'angry', 'i', 'be', 'gon', 'na', 'go', 'with']	[('wave', 'NN'), ('ask', 'NN'), ('run', 'NN'), ('or', 'CC'), ('steal', 'NN'), ('he', 'PRP'), ('looked', 'VBD'), ('pretty', 'RB'), ('angry', 'JJ'), ('i', 'NN'), ('am', 'VBP'), ('gon', 'NN'), ('na', 'TO'), ('go', 'VB'), ('with', 'IN')]	[('wave', 'NN'), ('ask', 'NN'), ('run', 'NN'), ('or', 'CC'), ('steal', 'NN'), ('he', 'PRP'), ('look', 'VBZ'), ('pretty', 'JJ'), ('angry', 'JJ'), ('i', 'NN'), ('be', 'VB'), ('gon', 'VBN'), ('na', 'TO'), ('go', 'VB'), ('with', 'IN')]	Dyad4-time1-condTD.txt
MOT	let's steal   or run  	['let', 'us', 'steal', 'or', 'run']	['let', 'u', 'steal', 'or', 'run']	[('let', 'VB'), ('us', 'PRP'), ('steal', 'VB'), ('or', 'CC'), ('run', 'VB')]	[('let', 'VB'), ('u', 'JJ'), ('steal', 'VB'), ('or', 'CC'), ('run', 'VB')]	Dyad4-time1-condTD.txt
CHI	steal or run   just steal steal every  every round right  	['steal', 'or', 'run', 'just', 'steal', 'steal', 'every', 'every', 'round', 'right']	['steal', 'or', 'run', 'just', 'steal', 'steal', 'every', 'every', 'round', 'right']	[('steal', 'NN'), ('or', 'CC'), ('run', 'VB'), ('just', 'RB'), ('steal', 'JJ'), ('steal', 'JJ'), ('every', 'DT'), ('every', 'DT'), ('round', 'NN'), ('right', 'NN')]	[('steal', 'NN'), ('or', 'CC'), ('run', 'VB'), ('just', 'RB'), ('steal', 'JJ'), ('steal', 'JJ'), ('every', 'DT'), ('every', 'DT'), ('round', 'NN'), ('right', 'NN')]	Dyad4-time1-condTD.txt
MOT	which is themost fun  	['which', 'is', 'themost', 'fun']	['which', 'be', 'themost', 'fun']	[('which', 'WDT'), ('is', 'VBZ'), ('themost', 'RBS'), ('fun', 'NN')]	[('which', 'WDT'), ('be', 'VB'), ('themost', 'VBN'), ('fun', 'NN')]	Dyad4-time1-condTD.txt
CHI	okay he  he looks the same just steal every round  	['okay', 'he', 'he', 'looks', 'the', 'same', 'just', 'steal', 'every', 'round']	['okay', 'he', 'he', 'look', 'the', 'same', 'just', 'steal', 'every', 'round']	[('okay', 'NN'), ('he', 'PRP'), ('he', 'PRP'), ('looks', 'VBZ'), ('the', 'DT'), ('same', 'JJ'), ('just', 'RB'), ('steal', 'VB'), ('every', 'DT'), ('round', 'NN')]	[('okay', 'NN'), ('he', 'PRP'), ('he', 'PRP'), ('look', 'VBD'), ('the', 'DT'), ('same', 'JJ'), ('just', 'RB'), ('steal', 'VB'), ('every', 'DT'), ('round', 'NN')]	Dyad4-time1-condTD.txt
MOT	let's try it  	['let', 'us', 'try', 'it']	['let', 'u', 'try', 'it']	[('let', 'VB'), ('us', 'PRP'), ('try', 'VB'), ('it', 'PRP')]	[('let', 'VB'), ('u', 'JJ'), ('try', 'VB'), ('it', 'PRP')]	Dyad4-time1-condTD.txt
