participant	content	token	lemma	tagged_token	tagged_lemma	file
MOT	okay well i guess we'll figure out what to do  	['okay', 'well', 'i', 'guess', 'we', 'will', 'figure', 'out', 'what', 'to', 'do']	['okay', 'well', 'i', 'guess', 'we', 'will', 'figure', 'out', 'what', 'to', 'do']	[('okay', 'RB'), ('well', 'RB'), ('i', 'JJ'), ('guess', 'NN'), ('we', 'PRP'), ('will', 'MD'), ('figure', 'VB'), ('out', 'RP'), ('what', 'WP'), ('to', 'TO'), ('do', 'VB')]	[('okay', 'RB'), ('well', 'RB'), ('i', 'JJ'), ('guess', 'NN'), ('we', 'PRP'), ('will', 'MD'), ('figure', 'VB'), ('out', 'RP'), ('what', 'WP'), ('to', 'TO'), ('do', 'VB')]	Dyad1-time1-condTD.txt
CHI	okay you're good  	['okay', 'you', 'are', 'good']	['okay', 'you', 'be', 'good']	[('okay', 'IN'), ('you', 'PRP'), ('are', 'VBP'), ('good', 'JJ')]	[('okay', 'NN'), ('you', 'PRP'), ('be', 'VB'), ('good', 'JJ')]	Dyad1-time1-condTD.txt
MOT	you ready   okay you ready to make some choices   does he look good or bad   what do you think  	['you', 'ready', 'okay', 'you', 'ready', 'to', 'make', 'some', 'choices', 'does', 'he', 'look', 'good', 'or', 'bad', 'what', 'do', 'you', 'think']	['you', 'ready', 'okay', 'you', 'ready', 'to', 'make', 'some', 'choice', 'do', 'he', 'look', 'good', 'or', 'bad', 'what', 'do', 'you', 'think']	[('you', 'PRP'), ('ready', 'VBP'), ('okay', 'IN'), ('you', 'PRP'), ('ready', 'VBP'), ('to', 'TO'), ('make', 'VB'), ('some', 'DT'), ('choices', 'NNS'), ('does', 'VBZ'), ('he', 'PRP'), ('look', 'VB'), ('good', 'JJ'), ('or', 'CC'), ('bad', 'JJ'), ('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB')]	[('you', 'PRP'), ('ready', 'VBP'), ('okay', 'IN'), ('you', 'PRP'), ('ready', 'VBP'), ('to', 'TO'), ('make', 'VB'), ('some', 'DT'), ('choice', 'NN'), ('do', 'VBP'), ('he', 'PRP'), ('look', 'VB'), ('good', 'JJ'), ('or', 'CC'), ('bad', 'JJ'), ('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB')]	Dyad1-time1-condTD.txt
CHI	 he looks good  	['he', 'looks', 'good']	['he', 'look', 'good']	[('he', 'PRP'), ('looks', 'VBZ'), ('good', 'JJ')]	[('he', 'PRP'), ('look', 'VBD'), ('good', 'JJ')]	Dyad1-time1-condTD.txt
MOT	looks good he looks angry to me he's got his arms down and he's got his mouth on like kinda face   i don't know doesn't it look well enough that the other aliens to see what they kinda look like  	['looks', 'good', 'he', 'looks', 'angry', 'to', 'me', 'he', 'is', 'got', 'his', 'arms', 'down', 'and', 'he', 'is', 'got', 'his', 'mouth', 'on', 'like', 'kinda', 'face', 'i', 'do', 'not', 'know', 'does', 'not', 'it', 'look', 'well', 'enough', 'that', 'the', 'other', 'aliens', 'to', 'see', 'what', 'they', 'kinda', 'look', 'like']	['looks', 'good', 'he', 'look', 'angry', 'to', 'me', 'he', 'be', 'get', 'his', 'arm', 'down', 'and', 'he', 'be', 'get', 'his', 'mouth', 'on', 'like', 'kinda', 'face', 'i', 'do', 'not', 'know', 'do', 'not', 'it', 'look', 'well', 'enough', 'that', 'the', 'other', 'alien', 'to', 'see', 'what', 'they', 'kinda', 'look', 'like']	[('looks', 'RB'), ('good', 'JJ'), ('he', 'PRP'), ('looks', 'VBZ'), ('angry', 'JJ'), ('to', 'TO'), ('me', 'PRP'), ('he', 'PRP'), ('is', 'VBZ'), ('got', 'VBD'), ('his', 'PRP$'), ('arms', 'NNS'), ('down', 'RB'), ('and', 'CC'), ('he', 'PRP'), ('is', 'VBZ'), ('got', 'VBD'), ('his', 'PRP$'), ('mouth', 'NN'), ('on', 'IN'), ('like', 'IN'), ('kinda', 'NN'), ('face', 'NN'), ('i', 'NN'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('does', 'VBZ'), ('not', 'RB'), ('it', 'PRP'), ('look', 'VBP'), ('well', 'RB'), ('enough', 'RB'), ('that', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('aliens', 'NNS'), ('to', 'TO'), ('see', 'VB'), ('what', 'WP'), ('they', 'PRP'), ('kinda', 'VBP'), ('look', 'VBP'), ('like', 'IN')]	[('looks', 'RB'), ('good', 'JJ'), ('he', 'PRP'), ('look', 'VB'), ('angry', 'JJ'), ('to', 'TO'), ('me', 'PRP'), ('he', 'PRP'), ('be', 'VB'), ('get', 'VB'), ('his', 'PRP$'), ('arm', 'NN'), ('down', 'RB'), ('and', 'CC'), ('he', 'PRP'), ('be', 'VB'), ('get', 'VB'), ('his', 'PRP$'), ('mouth', 'NN'), ('on', 'IN'), ('like', 'IN'), ('kinda', 'NN'), ('face', 'NN'), ('i', 'NN'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('do', 'VBP'), ('not', 'RB'), ('it', 'PRP'), ('look', 'VBP'), ('well', 'RB'), ('enough', 'RB'), ('that', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('alien', 'NN'), ('to', 'TO'), ('see', 'VB'), ('what', 'WP'), ('they', 'PRP'), ('kinda', 'VBP'), ('look', 'VBP'), ('like', 'IN')]	Dyad1-time1-condTD.txt
CHI	so what  so what else  	['so', 'what', 'so', 'what', 'else']	['so', 'what', 'so', 'what', 'else']	[('so', 'RB'), ('what', 'WP'), ('so', 'IN'), ('what', 'WP'), ('else', 'JJ')]	[('so', 'RB'), ('what', 'WP'), ('so', 'IN'), ('what', 'WP'), ('else', 'JJ')]	Dyad1-time1-condTD.txt
MOT	i think do we hit the spacebar   okay so do we wanna wave ask for gems  	['i', 'think', 'do', 'we', 'hit', 'the', 'spacebar', 'okay', 'so', 'do', 'we', 'wan', 'na', 'wave', 'ask', 'for', 'gems']	['i', 'think', 'do', 'we', 'hit', 'the', 'spacebar', 'okay', 'so', 'do', 'we', 'wan', 'na', 'wave', 'ask', 'for', 'gem']	[('i', 'NN'), ('think', 'VBP'), ('do', 'VBP'), ('we', 'PRP'), ('hit', 'VB'), ('the', 'DT'), ('spacebar', 'NN'), ('okay', 'NN'), ('so', 'RB'), ('do', 'VBP'), ('we', 'PRP'), ('wan', 'VB'), ('na', 'TO'), ('wave', 'VB'), ('ask', 'NN'), ('for', 'IN'), ('gems', 'NNS')]	[('i', 'NN'), ('think', 'VBP'), ('do', 'VBP'), ('we', 'PRP'), ('hit', 'VB'), ('the', 'DT'), ('spacebar', 'NN'), ('okay', 'NN'), ('so', 'RB'), ('do', 'VBP'), ('we', 'PRP'), ('wan', 'VB'), ('na', 'TO'), ('wave', 'VB'), ('ask', 'NN'), ('for', 'IN'), ('gem', 'NN')]	Dyad1-time1-condTD.txt
CHI	ask for a gem maybe  	['ask', 'for', 'a', 'gem', 'maybe']	['ask', 'for', 'a', 'gem', 'maybe']	[('ask', 'NN'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN'), ('maybe', 'RB')]	[('ask', 'NN'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN'), ('maybe', 'RB')]	Dyad1-time1-condTD.txt
MOT	sure we can ask for a gem   oops you should have just waved at this friendly alien  	['sure', 'we', 'can', 'ask', 'for', 'a', 'gem', 'oops', 'you', 'should', 'have', 'just', 'waved', 'at', 'this', 'friendly', 'alien']	['sure', 'we', 'can', 'ask', 'for', 'a', 'gem', 'oops', 'you', 'should', 'have', 'just', 'wave', 'at', 'this', 'friendly', 'alien']	[('sure', 'JJ'), ('we', 'PRP'), ('can', 'MD'), ('ask', 'VB'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN'), ('oops', 'IN'), ('you', 'PRP'), ('should', 'MD'), ('have', 'VB'), ('just', 'RB'), ('waved', 'VBN'), ('at', 'IN'), ('this', 'DT'), ('friendly', 'JJ'), ('alien', 'NN')]	[('sure', 'JJ'), ('we', 'PRP'), ('can', 'MD'), ('ask', 'VB'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN'), ('oops', 'IN'), ('you', 'PRP'), ('should', 'MD'), ('have', 'VB'), ('just', 'RB'), ('wave', 'VBN'), ('at', 'IN'), ('this', 'DT'), ('friendly', 'JJ'), ('alien', 'NN')]	Dyad1-time1-condTD.txt
CHI	we have zero points   now we have forty of them  	['we', 'have', 'zero', 'points', 'now', 'we', 'have', 'forty', 'of', 'them']	['we', 'have', 'zero', 'point', 'now', 'we', 'have', 'forty', 'of', 'them']	[('we', 'PRP'), ('have', 'VBP'), ('zero', 'CD'), ('points', 'NNS'), ('now', 'RB'), ('we', 'PRP'), ('have', 'VBP'), ('forty', 'VBN'), ('of', 'IN'), ('them', 'PRP')]	[('we', 'PRP'), ('have', 'VBP'), ('zero', 'VBN'), ('point', 'NN'), ('now', 'RB'), ('we', 'PRP'), ('have', 'VBP'), ('forty', 'VBN'), ('of', 'IN'), ('them', 'PRP')]	Dyad1-time1-condTD.txt
