original_index	participant	content	token	lemma	tagged_token	tagged_lemma	original_file	file
4	CHI	wave ask run or steal he looked pretty angry i'm gonna go with  	['wave', 'ask', 'run', 'or', 'steal', 'he', 'looked', 'pretty', 'angry', 'i', 'am', 'gon', 'na', 'go', 'with']	['wave', 'ask', 'run', 'or', 'steal', 'he', 'look', 'pretty', 'angry', 'i', 'be', 'gon', 'na', 'go', 'with']	[('wave', 'NN'), ('ask', 'NN'), ('run', 'NN'), ('or', 'CC'), ('steal', 'NN'), ('he', 'PRP'), ('looked', 'VBD'), ('pretty', 'RB'), ('angry', 'JJ'), ('i', 'NN'), ('am', 'VBP'), ('gon', 'NN'), ('na', 'TO'), ('go', 'VB'), ('with', 'IN')]	[('wave', 'NN'), ('ask', 'NN'), ('run', 'NN'), ('or', 'CC'), ('steal', 'NN'), ('he', 'PRP'), ('look', 'VBZ'), ('pretty', 'JJ'), ('angry', 'JJ'), ('i', 'NN'), ('be', 'VB'), ('gon', 'VBN'), ('na', 'TO'), ('go', 'VB'), ('with', 'IN')]	Dyad4-time1-condTD.txt	time1-time1-condTD
3	MOT	now we're down two points  	['now', 'we', 'are', 'down', 'two', 'points']	['now', 'we', 'be', 'down', 'two', 'point']	[('now', 'RB'), ('we', 'PRP'), ('are', 'VBP'), ('down', 'RB'), ('two', 'CD'), ('points', 'NNS')]	[('now', 'RB'), ('we', 'PRP'), ('be', 'VB'), ('down', 'RP'), ('two', 'CD'), ('point', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
6	CHI	steal or run   just steal steal every  every round right  	['steal', 'or', 'run', 'just', 'steal', 'steal', 'every', 'every', 'round', 'right']	['steal', 'or', 'run', 'just', 'steal', 'steal', 'every', 'every', 'round', 'right']	[('steal', 'NN'), ('or', 'CC'), ('run', 'VB'), ('just', 'RB'), ('steal', 'JJ'), ('steal', 'JJ'), ('every', 'DT'), ('every', 'DT'), ('round', 'NN'), ('right', 'NN')]	[('steal', 'NN'), ('or', 'CC'), ('run', 'VB'), ('just', 'RB'), ('steal', 'JJ'), ('steal', 'JJ'), ('every', 'DT'), ('every', 'DT'), ('round', 'NN'), ('right', 'NN')]	Dyad4-time1-condTD.txt	time1-time1-condTD
5	MOT	we're in the negatives  	['we', 'are', 'in', 'the', 'negatives']	['we', 'be', 'in', 'the', 'negative']	[('we', 'PRP'), ('are', 'VBP'), ('in', 'IN'), ('the', 'DT'), ('negatives', 'NNS')]	[('we', 'PRP'), ('be', 'VB'), ('in', 'IN'), ('the', 'DT'), ('negative', 'JJ')]	Dyad2-time1-condTD.txt	time1-time1-condTD
8	CHI	okay he  he looks the same just steal every round  	['okay', 'he', 'he', 'looks', 'the', 'same', 'just', 'steal', 'every', 'round']	['okay', 'he', 'he', 'look', 'the', 'same', 'just', 'steal', 'every', 'round']	[('okay', 'NN'), ('he', 'PRP'), ('he', 'PRP'), ('looks', 'VBZ'), ('the', 'DT'), ('same', 'JJ'), ('just', 'RB'), ('steal', 'VB'), ('every', 'DT'), ('round', 'NN')]	[('okay', 'NN'), ('he', 'PRP'), ('he', 'PRP'), ('look', 'VBD'), ('the', 'DT'), ('same', 'JJ'), ('just', 'RB'), ('steal', 'VB'), ('every', 'DT'), ('round', 'NN')]	Dyad4-time1-condTD.txt	time1-time1-condTD
7	MOT	why do you think that  	['why', 'do', 'you', 'think', 'that']	['why', 'do', 'you', 'think', 'that']	[('why', 'WRB'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('that', 'IN')]	[('why', 'WRB'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('that', 'IN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
10	CHI	but there wouldn't be two steals in a row would there  	['but', 'there', 'would', 'not', 'be', 'two', 'steals', 'in', 'a', 'row', 'would', 'there']	['but', 'there', 'would', 'not', 'be', 'two', 'steal', 'in', 'a', 'row', 'would', 'there']	[('but', 'CC'), ('there', 'EX'), ('would', 'MD'), ('not', 'RB'), ('be', 'VB'), ('two', 'CD'), ('steals', 'NNS'), ('in', 'IN'), ('a', 'DT'), ('row', 'NN'), ('would', 'MD'), ('there', 'VB')]	[('but', 'CC'), ('there', 'EX'), ('would', 'MD'), ('not', 'RB'), ('be', 'VB'), ('two', 'CD'), ('steal', 'NN'), ('in', 'IN'), ('a', 'DT'), ('row', 'NN'), ('would', 'MD'), ('there', 'VB')]	Dyad4-time1-condTD.txt	time1-time1-condTD
9	MOT	he could be  	['he', 'could', 'be']	['he', 'could', 'be']	[('he', 'PRP'), ('could', 'MD'), ('be', 'VB')]	[('he', 'PRP'), ('could', 'MD'), ('be', 'VB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
12	CHI	and this guy's green do we run  	"['and', 'this', 'guy', ""'s"", 'green', 'do', 'we', 'run']"	"['and', 'this', 'guy', ""'s"", 'green', 'do', 'we', 'run']"	"[('and', 'CC'), ('this', 'DT'), ('guy', 'NN'), (""'s"", 'POS'), ('green', 'JJ'), ('do', 'VBP'), ('we', 'PRP'), ('run', 'VB')]"	"[('and', 'CC'), ('this', 'DT'), ('guy', 'NN'), (""'s"", 'POS'), ('green', 'JJ'), ('do', 'VBP'), ('we', 'PRP'), ('run', 'VB')]"	Dyad4-time1-condTD.txt	time1-time1-condTD
11	MOT	okay so you think downward posture okay and his eyes are wide open  	['okay', 'so', 'you', 'think', 'downward', 'posture', 'okay', 'and', 'his', 'eyes', 'are', 'wide', 'open']	['okay', 'so', 'you', 'think', 'downward', 'posture', 'okay', 'and', 'his', 'eye', 'be', 'wide', 'open']	[('okay', 'RB'), ('so', 'RB'), ('you', 'PRP'), ('think', 'VBP'), ('downward', 'JJ'), ('posture', 'NN'), ('okay', 'NN'), ('and', 'CC'), ('his', 'PRP$'), ('eyes', 'NNS'), ('are', 'VBP'), ('wide', 'JJ'), ('open', 'JJ')]	[('okay', 'RB'), ('so', 'RB'), ('you', 'PRP'), ('think', 'VBP'), ('downward', 'JJ'), ('posture', 'NN'), ('okay', 'NN'), ('and', 'CC'), ('his', 'PRP$'), ('eye', 'NN'), ('be', 'VB'), ('wide', 'JJ'), ('open', 'JJ')]	Dyad2-time1-condTD.txt	time1-time1-condTD
